name,party,start,end
Arthur C. Mellette,Republican,1889-11-02,1893-01-03
George H. Hoffman,Republican,1893-01-03,1897-01-05
Andrew E. Lee,Populist,1897-01-05,1901-01-08
Charles N. Herreid,Republican,1901-01-08,1905-01-03
Samuel H. Elrod,Republican,1905-01-03,1907-01-08
Coe I. Crawford,Republican,1907-01-08,1909-01-05
Robert S. Vessey,Republican,1909-01-05,1913-01-07
Frank M. Byrne,Republican,1913-01-07,1917-01-02
Peter Norbeck,Republican,1917-01-02,1921-01-04
William H. McMaster,Republican,1921-01-04,1925-01-06
Carl Gunderson,Republican,1925-01-06,1927-01-03
William J. Bulow,Democratic,1927-01-03,1931-01-06
Warren Green,Republican,1931-01-06,1933-01-03
Tom Berry,Democratic,1933-01-03,1937-01-05
Leslie Jensen,Republican,1937-01-05,1939-01-03
Harlan J. Bushfield,Republican,1939-01-03,1943-01-05
Merrell Q. Sharpe,Republican,1943-01-05,1947-01-07
George T. Mickelson,Republican,1947-01-07,1951-01-02
Sigurd Anderson,Republican,1951-01-02,1955-01-04
Joe Foss,Republican,1955-01-04,1959-01-06
Ralph Herseth,Democratic,1959-01-06,1961-01-03
Archie M. Gubbrud,Republican,1961-01-03,1965-01-05
Nils Boe,Republican,1965-01-05,1969-01-07
Frank Farrar,Republican,1969-01-07,1971-01-05
Richard Kneip,Democrat,1971-01-05,1978-07-24
Harvey Wollman,Democrat,1978-07-24,1979-01-01
Bill Janklow,Republican,1979-01-01,1987-01-10
George Mickelson,Republican,1987-01-10,1993-04-19
Walter Dale Miller,Republican,1993-04-19,1995-01-07
Bill Janklow,Republican,1995-01-07,2003-01-07
Mike Rounds,Republican,2003-01-07,2011-01-08
Dennis Daugaard,Republican,2011-01-08,2019-01-05
Kristi Noem,Republican,2019-01-05,2025-01-25
Larry Rhoden,Republican,2025-01-25,